codigo_turma,codigo,nome,professor,credito,vagas,inscritos,status,horario_sala,extra
"IND3001, TESE DE DOUTORADO, 3RA",IND3001,TESE DE DOUTORADO,COORDENADOR DE CURSO,3RA,D,,0,0,0
"IND3002, PRODUCAO CIENTIFICA MESTRADO, 3RA",IND3002,PRODUCAO CIENTIFICA MESTRADO,COORDENADOR DE CURSO,3RA,D,,0,0,0
"IND3003, PRODUCAO CIENTIFICA DOUTORADO, 3RA",IND3003,PRODUCAO CIENTIFICA DOUTORADO,COORDENADOR DE CURSO,3RA,D,,0,0,0
"IND3004, EXAME DE QUALIFICACAO, 3RA",IND3004,EXAME DE QUALIFICACAO,COORDENADOR DE CURSO,3RA,D,,0,0,0
"IND3007, EXAME DE PROPOSTA DE TESE, 3RA",IND3007,EXAME DE PROPOSTA DE TESE,COORDENADOR DE CURSO,3RA,D,,0,0,0
"IND3008, PROJETO DE PESQUISA I, 3RA",IND3008,PROJETO DE PESQUISA I,LEONARDO DOS SANTOS LOURENCO BASTOS,3RA,I,TER 16-17 L966,0,0,0
"IND3009, PROJETO DE PESQUISA II, 3RA",IND3009,PROJETO DE PESQUISA II,LUIZ FELIPE RORIS RODRIGUEZ SCAVARDA DO CARMO,3RA,D,TER 16-17 DPTO,0,0,0
"IND3010, PROJETO DE DISSERTACAO, 3RA",IND3010,PROJETO DE DISSERTACAO,REINALDO CASTRO SOUZA,3RA,D,,0,0,0
"IND3211, ESTAGIO DOCENCIA NA GRADUACAO, 3RA",IND3211,ESTAGIO DOCENCIA NA GRADUACAO,COORDENADOR DE CURSO,3RA,D,GAVEA,0,3,0
"IND3220, ESTAGIO DOCENCIA NA GRADUACAO, 3RA",IND3220,ESTAGIO DOCENCIA NA GRADUACAO,COORDENADOR DE CURSO,3RA,D,GAVEA,0,3,0
"IND3221, ESTAGIO DOCENCIA NA GRADUACAO, 3RA",IND3221,ESTAGIO DOCENCIA NA GRADUACAO,COORDENADOR DE CURSO,3RA,D,GAVEA,0,3,0
"INF1009, LOGICA PARA COMPUTACAO, 3WA",INF1009,LOGICA PARA COMPUTACAO,BERNARDO PINTO DE ALKMIM,3WA,I,TER 13-15 L144  QUI 13-15 L144,0,0,0
"INF1009, LOGICA PARA COMPUTACAO, 3WB",INF1009,LOGICA PARA COMPUTACAO,BERNARDO PINTO DE ALKMIM,3WB,I,TER 15-17 L481  QUI 15-17 L481,0,0,0
"INF1009, LOGICA PARA COMPUTACAO, 3WC",INF1009,LOGICA PARA COMPUTACAO,BERNARDO PINTO DE ALKMIM,3WC,I,TER 11-13 L481  QUI 11-13 L481,0,0,0
"INF1010, ESTRUTURAS DE DADOS AVANCADAS, 3VC",INF1010,ESTRUTURAS DE DADOS AVANCADAS,LUIZ FERNANDO BESSA SEIBEL,3VC,I,TER 11-13 RDC  QUI 11-13 RDC,0,0,0
"INF1010, ESTRUTURAS DE DADOS AVANCADAS, 3WA",INF1010,ESTRUTURAS DE DADOS AVANCADAS,LUIZ FERNANDO BESSA SEIBEL,3WA,I,SEG 09-11 L546  QUA 09-11 L546,0,0,0
"INF1010, ESTRUTURAS DE DADOS AVANCADAS, 3WB",INF1010,ESTRUTURAS DE DADOS AVANCADAS,DANIEL DE SOUSA MORAES,3WB,I,SEG 13-15 L546  QUA 13-15 L546,0,0,0
"INF1012, MODELAGEM DE DADOS, 3WA",INF1012,MODELAGEM DE DADOS,IVAN MATHIAS FILHO,3WA,I,QUA 15-17 L160,0,0,0
"INF1012, MODELAGEM DE DADOS, 3WB",INF1012,MODELAGEM DE DADOS,IVAN MATHIAS FILHO,3WB,I,QUI 13-15 L414,0,0,0
"INF1012, MODELAGEM DE DADOS, 3WC",INF1012,MODELAGEM DE DADOS,IVAN MATHIAS FILHO,3WC,I,QUI 15-17 L414,0,0,0
"INF1013, MODELAGEM DE SOFTWARE, 3WA",INF1013,MODELAGEM DE SOFTWARE,EDMUNDO BASTOS TORREAO,3WA,I,TER 17-19 VIRTUAL  QUI 17-19 VIRTUAL,0,0,0
"INF1014, SEMINARIOS, 3WA",INF1014,SEMINARIOS,AUGUSTO CESAR ESPINDOLA BAFFA,3WA,I,TER 18-19 L110,0,0,0
"INF1015, COMPUTABILIDADE, 3WA",INF1015,COMPUTABILIDADE,EDWARD HERMANN HAEUSLER,3WA,I,TER 13-15 L524  QUI 13-15 L524,0,0,0
"INF1018, SOFTWARE BASICO, 3WA",INF1018,SOFTWARE BASICO,ALEXANDRE MALHEIROS MESLIN,3WA,I,TER 09-11 L546  QUI 09-11 L546,0,0,0
"INF1018, SOFTWARE BASICO, 3WB",INF1018,SOFTWARE BASICO,ALEXANDRE MALHEIROS MESLIN,3WB,I,TER 11-13 L546  QUI 11-13 L546,0,0,0
"INF1018, SOFTWARE BASICO, 3WC",INF1018,SOFTWARE BASICO,RAUL PIERRE RENTERIA,3WC,I,TER 07-09 L546  QUI 07-09 L546,0,0,0
"INF1022, ANALIS LEXICOS E SINTATICOS, 3WA",INF1022,ANALIS LEXICOS E SINTATICOS,VITOR PINHEIRO DE ALMEIDA,3WA,I,SEG 11-13 L278  QUA 11-13 L278,0,0,0
"INF1022, ANALIS LEXICOS E SINTATICOS, 3WB",INF1022,ANALIS LEXICOS E SINTATICOS,EDWARD HERMANN HAEUSLER,3WB,I,SEG 09-11 L654  QUA 09-11 L654,0,0,0
"INF1025, INTRODUCAO A PROGRAMACAO, 3WA",INF1025,INTRODUCAO A PROGRAMACAO,LUIS FERNANDO TEIXEIRA BICALHO,3WA,I,SEG 09-11 RDC  QUA 09-11 RDC,0,0,0
"INF1026, COMPUTACAO APLICADA, 33A",INF1026,COMPUTACAO APLICADA,PAULA YPIRANGA DOS GUARANYS,33A,I,SEG 07-09 LAB  QUA 07-09 LAB,0,0,0
"INF1026, COMPUTACAO APLICADA, 33B",INF1026,COMPUTACAO APLICADA,CLAUDIA FERLIN,33B,I,SEG 11-13 L540  QUA 11-13 L540,0,0,0
"INF1026, COMPUTACAO APLICADA, 33C",INF1026,COMPUTACAO APLICADA,CLAUDIA FERLIN,33C,I,SEG 13-15 L318  QUA 13-15 L318,0,0,0
"INF1026, COMPUTACAO APLICADA, 33D",INF1026,COMPUTACAO APLICADA,ELVISMARY MOLINA DE ARMAS,33D,I,SEG 15-17 L546  QUA 15-17 L546,0,0,0
"INF1027, TESTE E MEDICAO DE SOFTWARE, 3WA",INF1027,TESTE E MEDICAO DE SOFTWARE,ANDREW DINIZ DA COSTA,3WA,I,SEG 09-11 L481  QUA 09-11 L481,0,0,0
"INF1027, TESTE E MEDICAO DE SOFTWARE, 3WB",INF1027,TESTE E MEDICAO DE SOFTWARE,ANDREW DINIZ DA COSTA,3WB,I,SEG 11-13 L664  QUA 11-13 DEQM1,0,0,0
"INF1028, PROJETO E CONSTRUCAO SISTEMAS, 3WA",INF1028,PROJETO E CONSTRUCAO SISTEMAS,ALESSANDRO FABRICIO GARCIA,3WA,I,TER 15-17 L160  QUI 15-17 L160,0,5,0
"INF1029, INT ARQUITETURA COMPUTADORES, 3WA",INF1029,INT ARQUITETURA COMPUTADORES,ALEXANDRE MALHEIROS MESLIN,3WA,I,TER 15-17 L540  QUI 15-17 L540,0,0,0
"INF1029, INT ARQUITETURA COMPUTADORES, 3WB",INF1029,INT ARQUITETURA COMPUTADORES,IVAN MATHIAS FILHO,3WB,I,GAVEA,0,4,0
"INF1032, INTRODUCAO A CIENCIA DOS DADOS, 3WA",INF1032,INTRODUCAO A CIENCIA DOS DADOS,ADRIANO FRANCISCO BRANCO,3WA,I,SEG 07-09 L540  QUA 07-09 L540,0,0,0
"INF1032, INTRODUCAO A CIENCIA DOS DADOS, 3WB",INF1032,INTRODUCAO A CIENCIA DOS DADOS,ADRIANO FRANCISCO BRANCO,3WB,I,TER 13-15 L546  QUI 13-15 L546,0,0,0
"INF1033, ESTAGIO SUPERV EM COMPUTACAO, 3WA",INF1033,ESTAGIO SUPERV EM COMPUTACAO,MELISSA LEMOS CAVALIERE,3WA,I,SEX 09-11 L506,0,24,0
"INF1034, PRÁTICAS DE PROGRAMAÇÃO, 3WA",INF1034,PRÁTICAS DE PROGRAMAÇÃO,LUIZ FERNANDO BESSA SEIBEL,3WA,I,SEG 11-13 L546  QUA 11-13 L546,0,0,0
"INF1034, PRÁTICAS DE PROGRAMAÇÃO, 3WB",INF1034,PRÁTICAS DE PROGRAMAÇÃO,LUIS FERNANDO TEIXEIRA BICALHO,3WB,I,SEG 11-13 RDC  QUA 11-13 RDC,0,0,0
"INF1036, PROBABILIDADE COMPUTACIONAL, 3WA",INF1036,PROBABILIDADE COMPUTACIONAL,MARCIO LUIZ RAMOS DOS SANTOS,3WA,I,TER 09-11 RDC  QUI 09-11 RDC,0,0,0
"INF1037, PROGRAMACAO EM C, 33A",INF1037,PROGRAMACAO EM C,PAULA SALGADO LUCENA RODRIGUES,33A,I,SEG 07-09 L546  QUA 07-09 L546,0,0,0
"INF1037, PROGRAMACAO EM C, 33B",INF1037,PROGRAMACAO EM C,WALDEMAR CELES FILHO,33B,I,SEG 09-11 L318  QUA 09-11 L318,0,0,0
"INF1037, PROGRAMACAO EM C, 33C",INF1037,PROGRAMACAO EM C,ADRIANO FRANCISCO BRANCO,33C,I,SEG 13-15 L314  QUA 13-15 L314,0,0,0
"INF1038, APRENDIZADO AUTOMATICO, 3WA",INF1038,APRENDIZADO AUTOMATICO,MARLEY MARIA BERNARDES REBUZZI VELLASCO,3WA,I,SEX 15-19 L434,0,0,0
"INF1039, PROJETOS: APLICA INTERATIVAS, 3WA",INF1039,PROJETOS: APLICA INTERATIVAS,ADRIANO FRANCISCO BRANCO,3WA,I,SEG 09-11 L540  QUA 09-11 L540,0,0,0
"INF1039, PROJETOS: APLICA INTERATIVAS, 3WB",INF1039,PROJETOS: APLICA INTERATIVAS,LUIS FERNANDO TEIXEIRA BICALHO,3WB,I,SEG 13-15 RDC  QUA 13-15 RDC,0,0,0
"INF1040, PROJ PROG MODULAR, 3WA",INF1040,PROJ PROG MODULAR,FLAVIO HELENO BEVILACQUA E SILVA,3WA,I,TER 07-09 L150  QUI 07-09 L150,0,0,0
"INF1040, PROJ PROG MODULAR, 3WB",INF1040,PROJ PROG MODULAR,FLAVIO HELENO BEVILACQUA E SILVA,3WB,I,SEG 07-09 L654  QUA 07-09 L654,0,0,0
"INF1041, ENGENHARIA DE SOFTWARE, 3WA",INF1041,ENGENHARIA DE SOFTWARE,MARCOS KALINOWSKI,3WA,I,SEG 13-15 LAB  QUA 13-15 LAB,0,0,0
"INF1041, ENGENHARIA DE SOFTWARE, 3WB",INF1041,ENGENHARIA DE SOFTWARE,JULIANA ARRIEL,3WB,I,TER 15-17 L546  QUI 15-17 L546,0,0,0
